name,films,tv_shows,video_games,source_url,image_url
Achilles,Hercules (film),Hercules (TV series),Kingdom Hearts III,https://disney.fandom.com/wiki/Achilles_(Hercules),https://static.wikia.nocookie.net/disney/images/d/d3/Vlcsnap-2015-05-06-23h04m15s601.png
Abigail the Cow,"The Fox and the Hound, The Fox and the Hound 2",,,https://disney.fandom.com/wiki/Abigail_the_Cow,https://static.wikia.nocookie.net/disney/images/0/05/Fox-disneyscreencaps_com-901.jpg
Abdullah,Cheetah,,,https://disney.fandom.com/wiki/Abdullah,https://static.wikia.nocookie.net/disney/images/c/cb/1087603-44532-clp-950.jpg
Admiral Boom and Mr. Binnacle,"Mary Poppins (film), Mary Poppins Returns",,,https://disney.fandom.com/wiki/Admiral_Boom_and_Mr._Binnacle,https://static.wikia.nocookie.net/disney/images/b/be/Marypoppins-disneyscreencaps_com-1086.jpg
.GIFfany,,Gravity Falls,,https://disney.fandom.com/wiki/.GIFfany,https://static.wikia.nocookie.net/disney/images/5/51/Giffany.png
90's Adventure Bear,,Pickle and Peanut,,https://disney.fandom.com/wiki/90%27s_Adventure_Bear_(character),https://static.wikia.nocookie.net/disney/images/3/3f/90%27s_Adventure_Bear_profile.png
Candace Adams,,K.C. Undercover,,https://disney.fandom.com/wiki/Candace_Adams,https://static.wikia.nocookie.net/disney/images/8/8b/Enemy_of_the_State_promo_3.jpg
Ahadi,"The Lion King, The Lion King (2019 film)",,,https://disney.fandom.com/wiki/Ahadi,https://static.wikia.nocookie.net/disney/images/b/b3/Ahadihead.png
Al Muddy Sultan,,Aladdin (TV series),,https://disney.fandom.com/wiki/Al_Muddy_Sultan,https://static.wikia.nocookie.net/disney/images/e/e0/Almuddyking.jpg
Irwina Allen,,Chip 'n Dale Rescue Rangers,,https://disney.fandom.com/wiki/Irwina_Allen,https://static.wikia.nocookie.net/disney/images/4/48/Chip_%27n_Dale_Rescue_Rangers_109_Risky_Beesness_arsenaloyal_-_YouTube12.jpg
Ambrose,"The Robber Kitten, Mickey's Polo Team",,,https://disney.fandom.com/wiki/Ambrose,https://static.wikia.nocookie.net/disney/images/d/d3/Ambrose.jpg
Amos,Ben and Me,,,https://disney.fandom.com/wiki/Amos,https://static.wikia.nocookie.net/disney/images/8/83/Tve8132-19531110-2244.jpg
Arabella,,,,https://disney.fandom.com/wiki/Arabella,
Arabella Smith,,,,https://disney.fandom.com/wiki/Arabella_Smith,https://static.wikia.nocookie.net/disney/images/d/da/Bella_sign.webp
Queen Ariel,,DuckTales,,https://disney.fandom.com/wiki/Queen_Ariel,https://static.wikia.nocookie.net/disney/images/e/e8/Char_49883.jpg
Arthur and Cecil,,Jungle Cubs,,https://disney.fandom.com/wiki/Arthur_and_Cecil,https://static.wikia.nocookie.net/disney/images/e/e9/Arthur_%26_Cecil.png
Fiona Ashbury,,Fillmore!,,https://disney.fandom.com/wiki/Fiona_Ashbury,https://static.wikia.nocookie.net/disney/images/e/ed/Fiona_Ashbury.jpg
Ashcan and Pete,Homeward Bound II: Lost in San Francisco,,,https://disney.fandom.com/wiki/Ashcan_and_Pete,https://static.wikia.nocookie.net/disney/images/8/88/AshcanPete.PNG
Aspen,Bedtime Stories,,,https://disney.fandom.com/wiki/Aspen,https://static.wikia.nocookie.net/disney/images/8/8b/Bedtime_stories_aspen.jpg
Astuto,,The Lion Guard,,https://disney.fandom.com/wiki/Astuto,https://static.wikia.nocookie.net/disney/images/3/3e/Lion_Guard_S03E014_-_Astuto_%28fox%29_Profile.jpg
