title,normal_price,sale_price,savings,steam_rating,store_id,deal_url
The Witcher 3: Wild Hunt,39.99,3.99,90.022506,96,1,https://www.cheapshark.com/redirect?dealID=zm2ORJ1RIWrq7UFFCs9J4ps4rgsNUV7FTSnWxzxxj8Q%3D
The Inner World - The Last Wind Monk,19.99,0.99,95.047524,88,1,https://www.cheapshark.com/redirect?dealID=Wa5qiz7qG5nJuDKq5uViAywtw8kcM95uODQ96RKRb3Q%3D
LIMBO,9.99,0.99,90.090090,92,1,https://www.cheapshark.com/redirect?dealID=X9XEB%2Fw3H%2BmI80UYR458fzGB9zWEHde%2Bz2e8vPvNWl4%3D
INSIDE,19.99,1.99,90.045023,97,1,https://www.cheapshark.com/redirect?dealID=MNeCPwsOA2Ep3wim%2FLwY4C0rcPZGEkwjwOSlzBwXs8c%3D
BADLAND: Game of the Year Edition,9.99,0.99,90.090090,86,1,https://www.cheapshark.com/redirect?dealID=pP%2B23z60Cke6YjWGt3Ff3iYgb2a8uH4xgabCi3RdTUQ%3D
Full Throttle Remastered,14.99,1.49,90.060040,93,1,https://www.cheapshark.com/redirect?dealID=eiKRLrOt9xs54itv%2BE57ESYv7INGpw56nb7aguIOK6s%3D
BioShock,19.99,4.99,75.037519,94,1,https://www.cheapshark.com/redirect?dealID=7OKT5vjgeNTOpZUf6NTct4pDEozvxfM3KwdevolT%2FCE%3D
XCOM: Enemy Unknown,29.99,5.99,80.026676,93,1,https://www.cheapshark.com/redirect?dealID=F8so5KCN6t%2BVObO8mQwaxJJ8vfmf5iSOCZd65O82loI%3D
Harry Potter: Quidditch Champions,29.99,5.99,80.026676,76,1,https://www.cheapshark.com/redirect?dealID=jM4%2F%2BNCq%2F8fuT5GpNfcB1ujWqVKal3DjmzlCeCboyUw%3D
Just Cause 2,14.99,1.49,90.060040,90,1,https://www.cheapshark.com/redirect?dealID=z4El8C19yCEHrk1%2ByEedebThQVbblI7H0Z%2BAmxgZiS8%3D
The Witcher 2: Assassins of Kings Enhanced Edition,19.99,2.99,85.042521,89,1,https://www.cheapshark.com/redirect?dealID=8JWQ51DVapSJnGVviMI0Hgu4YFqxme2sBdLD3vh6dZw%3D
BioShock 2,19.99,2.99,85.042521,88,1,https://www.cheapshark.com/redirect?dealID=O%2BSZ%2FWxXnuj0dNBuB1ytb2ytFK8WOK%2FfmZWTYDPjTF4%3D
The Inner World,14.99,1.49,90.060040,88,1,https://www.cheapshark.com/redirect?dealID=Hj%2B%2BtuFWB5%2F8YfjBzmprrH5dEtAxye3wgqDDdkpBmew%3D
Darkstar One,8.99,0.89,90.100111,82,1,https://www.cheapshark.com/redirect?dealID=i364HrxDJkIOVrSITCBgPBrfaPI%2BfoPxmCeq68rFdlg%3D
Nuclear Dawn,9.99,0.99,90.090090,78,1,https://www.cheapshark.com/redirect?dealID=ja4%2FzvHGunCNupJxFmcIa1yqRx8l7ks8RjPfyEEL7Sk%3D
Cursed to Golf,19.99,1.99,90.045023,71,1,https://www.cheapshark.com/redirect?dealID=QQJrXHufPXLRMgk5FTOzkyIvHbqQz%2BRpsmgCHv6%2FR3o%3D
Sub Command,9.99,1.99,80.080080,72,1,https://www.cheapshark.com/redirect?dealID=%2FQvOMrB12Q7a0LFPTjLSE7spMcwWPeHNE5QFSWGxFpU%3D
The Witcher: Enhanced Edition Director's Cut,9.99,1.49,85.085085,89,1,https://www.cheapshark.com/redirect?dealID=XvdAVEU9b7gYQqsNjJB6TCQtxN8qpubzIpJWMLvEVsQ%3D
Sword of the Necromancer,14.99,1.49,90.060040,69,1,https://www.cheapshark.com/redirect?dealID=ek3TXAk1r5bv%2BEfYOGgTLVK2Y5QgxxlHp0X6OKvb5D8%3D
Red Dead Redemption 2,59.99,14.99,75.012502,92,1,https://www.cheapshark.com/redirect?dealID=cQN5SQRQu7X7qpiZ6H%2Fp4aRdfn6cj3A9vp%2BdJmvABjk%3D
