ticker,date,open,high,low,close,volume,daily_range,category,timestamp
AAPL,2025-05-15,210.95,212.96,209.54,211.45,45029473,3.420000000000016,Technology,2025-05-16 13:11:42.261937+00:00
MSFT,2025-05-15,450.765,456.19,450.4301,453.13,21992323,5.759900000000016,Technology,2025-05-16 13:11:42.261937+00:00
NVDA,2025-05-15,134.295,136.3,132.66,134.83,226632563,3.640000000000015,Technology,2025-05-16 13:11:42.261937+00:00
AMZN,2025-05-15,206.45,206.88,202.673,205.17,64347317,4.206999999999994,Technology,2025-05-16 13:11:42.261937+00:00
GOOGL,2025-05-15,165.84,166.205,162.3732,163.96,33146669,3.8318000000000154,Technology,2025-05-16 13:11:42.261937+00:00
META,2025-05-15,654.275,657.31,638.58,643.88,14341835,18.729999999999905,Technology,2025-05-16 13:11:42.261937+00:00
JPM,2025-05-15,266.97,269.52,264.76,267.49,9214641,4.759999999999991,Finance,2025-05-16 13:11:42.261937+00:00
V,2025-05-15,356.89,363.73,356.675,362.3,5826126,7.055000000000007,Finance,2025-05-16 13:11:42.261937+00:00
MA,2025-05-15,574.13,583.04,573.65,582.2,2034253,9.389999999999986,Finance,2025-05-16 13:11:42.261937+00:00
BAC,2025-05-15,44.6,44.98,44.01,44.38,47379372,0.9699999999999989,Finance,2025-05-16 13:11:42.261937+00:00
WFC,2025-05-15,76.06,76.52,75.32,75.59,15303909,1.2000000000000028,Finance,2025-05-16 13:11:42.261937+00:00
C,2025-05-15,74.59,76.165,74.47,75.96,12627659,1.6950000000000074,Finance,2025-05-16 13:11:42.261937+00:00
UNH,2025-05-15,274.9,276.65,248.88,274.35,121849184,27.769999999999982,Healthcare,2025-05-16 13:11:42.261937+00:00
JNJ,2025-05-15,148.0,149.65,147.33,149.61,7945768,2.319999999999993,Healthcare,2025-05-16 13:11:42.261937+00:00
PFE,2025-05-15,22.2,22.6,22.09,22.6,51800092,0.5100000000000016,Healthcare,2025-05-16 13:11:42.261937+00:00
LLY,2025-05-15,725.7,738.68,712.21,733.29,5212870,26.469999999999914,Healthcare,2025-05-16 13:11:42.261937+00:00
MRK,2025-05-15,73.77,74.81,73.31,74.8,15274781,1.5,Healthcare,2025-05-16 13:11:42.261937+00:00
ABBV,2025-05-15,178.015,182.11,176.57,181.68,12073301,5.5400000000000205,Healthcare,2025-05-16 13:11:42.261937+00:00
PEP,2025-05-15,129.19,131.55,128.81,131.5,9165089,2.740000000000009,Food & Beverage,2025-05-16 13:11:42.261937+00:00
KO,2025-05-15,69.7,71.73,69.6,71.61,19817096,2.1300000000000097,Food & Beverage,2025-05-16 13:11:42.261937+00:00
MDLZ,2025-05-15,63.96,65.179,63.8,65.14,7310129,1.3790000000000049,Food & Beverage,2025-05-16 13:11:42.261937+00:00
KHC,2025-05-15,27.33,27.51,27.16,27.49,9242880,0.3500000000000014,Food & Beverage,2025-05-16 13:11:42.261937+00:00
TSN,2025-05-15,54.59,55.69,54.57,55.65,2677854,1.1199999999999974,Food & Beverage,2025-05-16 13:11:42.261937+00:00
SJM,2025-05-15,110.92,112.76,110.49,112.65,929058,2.2700000000000102,Food & Beverage,2025-05-16 13:11:42.261937+00:00
