"keyword","date","interest_score","related_event_id","related_team_id","created_at"
"Kansas City Chiefs","2025-04-19",30,"2209609","134936","2025-05-18T20:20:32.649076"
"Kansas City Chiefs","2025-04-20",29,"2209609","134936","2025-05-18T20:20:32.649219"
"Kansas City Chiefs","2025-04-21",31,"2209609","134936","2025-05-18T20:20:32.649303"
"Kansas City Chiefs","2025-04-22",29,"2209609","134936","2025-05-18T20:20:32.649383"
"Kansas City Chiefs","2025-04-23",29,"2209609","134936","2025-05-18T20:20:32.649455"
"Kansas City Chiefs","2025-04-24",57,"2209609","134936","2025-05-18T20:20:32.649522"
"Kansas City Chiefs","2025-04-25",90,"2209609","134936","2025-05-18T20:20:32.649585"
"Kansas City Chiefs","2025-04-26",100,"2209609","134936","2025-05-18T20:20:32.649651"
"Kansas City Chiefs","2025-04-27",64,"2209609","134936","2025-05-18T20:20:32.649713"
"Kansas City Chiefs","2025-04-28",44,"2209609","134936","2025-05-18T20:20:32.649776"
"Kansas City Chiefs","2025-04-29",37,"2209609","134936","2025-05-18T20:20:32.649839"
"Kansas City Chiefs","2025-04-30",31,"2209609","134936","2025-05-18T20:20:32.649912"
"Kansas City Chiefs","2025-05-01",36,"2209609","134936","2025-05-18T20:20:32.649975"
"Kansas City Chiefs","2025-05-02",37,"2209609","134936","2025-05-18T20:20:32.650038"
"Kansas City Chiefs","2025-05-03",31,"2209609","134936","2025-05-18T20:20:32.650099"
"Kansas City Chiefs","2025-05-04",33,"2209609","134936","2025-05-18T20:20:32.650170"
"Kansas City Chiefs","2025-05-05",31,"2209609","134936","2025-05-18T20:20:32.650233"
"Kansas City Chiefs","2025-05-06",43,"2209609","134936","2025-05-18T20:20:32.650305"
"Kansas City Chiefs","2025-05-07",48,"2209609","134936","2025-05-18T20:20:32.650366"
"Kansas City Chiefs","2025-05-08",37,"2209609","134936","2025-05-18T20:20:32.650427"
"Kansas City Chiefs","2025-05-09",29,"2209609","134936","2025-05-18T20:20:32.650493"
"Kansas City Chiefs","2025-05-10",30,"2209609","134936","2025-05-18T20:20:32.650557"
"Kansas City Chiefs","2025-05-11",38,"2209609","134936","2025-05-18T20:20:32.650626"
"Kansas City Chiefs","2025-05-12",39,"2209609","134936","2025-05-18T20:20:32.650687"
"Kansas City Chiefs","2025-05-13",46,"2209609","134936","2025-05-18T20:20:32.650759"
"Kansas City Chiefs","2025-05-14",58,"2209609","134936","2025-05-18T20:20:32.650820"
"Kansas City Chiefs","2025-05-15",89,"2209609","134936","2025-05-18T20:20:32.650870"
"Kansas City Chiefs","2025-05-16",41,"2209609","134936","2025-05-18T20:20:32.650929"
"Kansas City Chiefs","2025-05-17",36,"2209609","134936","2025-05-18T20:20:32.650981"
"Kansas City Chiefs","2025-05-18",33,"2209609","134936","2025-05-18T20:20:32.651032"
"Kansas City Chiefs","2025-05-19",61,"2209609","134936","2025-05-18T20:20:32.651083"
