ingest_date,rank,rank_last_week,weeks_on_list,publisher,description,title,author,amazon_product_url,isbn13,isbn10,bestseller_date,list_name
2025-05-19,1,0,1,Red Tower,"A princess deals with various adversaries as she moves into the role she chooses for herself, not the one chosen for her.",Shield of Sparrows,Devney Perry,https://www.amazon.com/dp/1649378513?tag=thenewyorktim-20,9781649378514,,2025-05-25,Hardcover Fiction
2025-05-19,2,1,3,Berkley,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.,Great Big Beautiful Life,Emily Henry,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,9780593441299,,2025-05-25,Hardcover Fiction
2025-05-19,3,0,1,Atria,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.,My Friends,Fredrik Backman,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,9781982112820,,2025-05-25,Hardcover Fiction
2025-05-19,4,0,1,Bantam,"Years after their sisters went missing in a similar way, Nicole Monroe and Jenna Connor team up to search for them.",The Missing Half,Ashley Flowers with Alex Kiester,https://www.amazon.com/dp/0593726987?tag=thenewyorktim-20,9780593726983,,2025-05-25,Hardcover Fiction
2025-05-19,5,0,1,Del Rey,"Wren Darlington winds up in the elite training program of her enemy and finds it hard to resist their commanding officer, Cross Redden.",Silver Elite,Dani Francis,https://www.amazon.com/dp/059387546X?tag=thenewyorktim-20,9780593875469,,2025-05-25,Hardcover Fiction
2025-05-19,6,2,2,"Little, Brown",The 25th book in the Women’s Murder Club series. Lindsay Boxer’s former partner is the victim at a crime scene.,25 Alive,James Patterson and Maxine Paetro,https://www.amazon.com/dp/0316569771?tag=thenewyorktim-20,9780316569774,,2025-05-25,Hardcover Fiction
2025-05-19,7,6,16,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies.",Onyx Storm,Rebecca Yarros,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,9781649374189,,2025-05-25,Hardcover Fiction
2025-05-19,8,5,4,Blackstone,"Around the time of the disappearance of a woman who had a one-night stand with the attorney Sarah Morgan’s new husband, police reopen the investigation into the murder of her first husband’s mistress.",The Perfect Divorce,Jeneva Rose,https://www.amazon.com/dp/B0DGY5F5JX?tag=thenewyorktim-20,9798874620936,,2025-05-25,Hardcover Fiction
2025-05-19,9,14,45,Doubleday,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",James,Percival Everett,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20,9780385550369,,2025-05-25,Hardcover Fiction
2025-05-19,10,9,6,Forever,"Despite having a great date, Samantha asks a veterinarian to forget about her because her family is in crisis.",Say You'll Remember Me,Abby Jimenez,https://www.amazon.com/dp/1538759195?tag=thenewyorktim-20,9781538759196,,2025-05-25,Hardcover Fiction
2025-05-19,11,7,4,Grand Central,"In London in 1944, two teenagers dealing with the dangers of World War II form an alliance with a bookshop owner.",Strangers in Time,David Baldacci,https://www.amazon.com/dp/1538742055?tag=thenewyorktim-20,9781538742051,,2025-05-25,Hardcover Fiction
2025-05-19,12,11,79,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.,Iron Flame,Rebecca Yarros,https://www.amazon.com/dp/1649374178?tag=thenewyorktim-20,9781649374172,,2025-05-25,Hardcover Fiction
2025-05-19,13,10,10,Simon & Schuster,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.,Broken Country,Clare Leslie Hall,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,9781668078181,,2025-05-25,Hardcover Fiction
2025-05-19,14,0,1,Pamela Dorman,Three alternate and alternating versions of Cora’s and her son’s lives are spun over several decades.,The Names,Florence Knapp,https://www.amazon.com/dp/0593833902?tag=thenewyorktim-20,9780593833902,,2025-05-25,Hardcover Fiction
2025-05-19,15,13,66,St. Martin's,A nurse follows her brother to serve during the Vietnam War and returns to a divided America.,The Women,Kristin Hannah,https://www.amazon.com/dp/1250178630?tag=thenewyorktim-20,9781250178633,,2025-05-25,Hardcover Fiction
